object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
1,"1,2",2,120,Bead,0.592
6,"6,7,8,9,10",5,56,Bead,0.559
12,"12,14,15",3,55,Frag,0.44
21,"21,22,23,24,25,26,27",7,53,Frag,0.94
28,"28,31,32,34",4,35,Bead,0.455
37,"37,38,39,40,41",5,29,Frag,0.571
42,"42,43,44",3,82,Bead,0.598
47,"47,49,51",3,102,Bead,0.429
52,"52,53,58,59,61,63",6,83,Bead,0.387
54,54,1,20,Bead,0.348
55,"55,56,60",3,30,Bead,0.404
62,"62,64,65",3,49,Frag,0.551
66,"66,67,68,69",4,93,Bead,0.561
72,"72,74,76",3,41,Bead,0.595
73,"73,75,78",3,23,Frag,0.552
79,"79,80,81",3,25,Bead,0.599
82,"82,83",2,69,Bead,0.496
85,"85,86",2,35,Bead,0.598
87,"87,88,90,91",4,21,Bead,0.587
89,89,1,78,Bead,0.485
92,"92,93,94,95,96",5,37,Bead,0.578
97,"97,99,101,103,104,105,110,111",8,75,Frag,1.044
98,"98,100,107,108,109",5,35,Bead,0.529
112,"112,113,114,116,117,118",6,100,Bead,0.548
119,119,1,39,Bead,0.437
120,"120,121,122,123",4,75,Bead,0.356
125,"125,126,127",3,34,Bead,0.492
128,128,1,82,Frag,0.569
129,"129,130",2,49,Bead,0.488
131,"131,132",2,69,Frag,0.673
135,"135,136",2,83,Bead,0.549
137,"137,138,139",3,48,Bead,0.599
140,"140,141,142",3,65,Bead,0.594
143,"143,144",2,20,Bead,0.6
145,145,1,56,Bead,0.6
149,"149,150",2,36,Frag,0.42
155,"155,156,157",3,62,Bead,0.544
158,"158,159,160",3,42,Bead,0.486
163,"163,164,165",3,53,Bead,0.561
166,"166,167,169,171,172",5,21,Bead,0.376
170,"170,173",2,27,Bead,0.529
174,"174,175",2,28,Bead,0.597
177,177,1,50,Frag,0.637
