frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
222,1,301,902,,0.000,object,0.785,,0.000,Bead,0.989
223,1,277,900,,0.000,object,0.803,,0.000,Bead,0.996
224,1,265,903,,0.000,object,0.830,,0.000,Bead,0.999
227,1,141,894,,0.000,object,0.787,,0.000,Bead,1.000
228,1,129,889,,0.000,object,0.838,,0.000,Bead,1.000
229,1,125,883,,0.000,object,0.836,,0.000,Bead,0.999
230,1,131,871,,0.000,object,0.837,,0.000,Bead,0.988
231,1,132,854,,0.000,object,0.830,,0.000,Bead,1.000
232,1,138,852,,0.000,object,0.750,,0.000,Bead,0.873
233,1,147,820,,0.000,object,0.781,,0.000,Bead,1.000
234,1,160,810,,0.000,object,0.839,,0.000,Bead,1.000
235,1,179,802,,0.000,object,0.880,,0.000,Bead,0.999
236,1,204,799,,0.000,object,0.877,,0.000,Bead,1.000
237,1,225,797,,0.000,object,0.844,,0.000,Bead,1.000
238,1,248,797,,0.000,object,0.859,,0.000,Bead,0.998
239,1,288,790,,0.000,object,0.825,,0.000,Bead,1.000
240,1,313,783,,0.000,object,0.870,,0.000,Bead,0.998
241,1,330,773,,0.000,object,0.798,,0.000,Bead,1.000
245,1,345,715,,0.000,object,0.820,,0.000,Bead,0.872
246,1,337,705,,0.000,object,0.855,,0.000,Bead,1.000
247,1,328,697,,0.000,object,0.854,,0.000,Bead,0.999
248,1,321,692,,0.000,object,0.821,,0.000,Frag,0.889
249,1,311,688,,0.000,object,0.859,,0.000,Bead,0.814
250,1,290,686,,0.000,object,0.894,,0.000,Bead,0.610
251,1,276,686,,0.000,object,0.884,,0.000,Bead,0.987
252,1,255,690,,0.000,object,0.847,,0.000,Bead,1.000
253,1,230,692,,0.000,object,0.834,,0.000,Frag,0.628
254,1,211,695,,0.000,object,0.826,,0.000,Bead,0.996
255,1,196,695,,0.000,object,0.818,,0.000,Bead,0.997
256,1,180,691,,0.000,object,0.805,,0.000,Bead,1.000
257,1,166,682,,0.000,object,0.824,,0.000,Bead,1.000
258,1,149,671,,0.000,object,0.771,,0.000,Bead,0.997
259,1,137,657,,0.000,object,0.772,,0.000,Bead,0.943
261,1,144,619,,0.000,object,0.796,,0.000,Bead,0.996
262,1,162,605,,0.000,object,0.869,,0.000,Bead,0.999
263,1,180,602,,0.000,object,0.855,,0.000,Bead,0.999
264,1,200,599,,0.000,object,0.837,,0.000,Bead,1.000
265,1,216,598,,0.000,object,0.827,,0.000,Bead,1.000
266,1,241,595,,0.000,object,0.805,,0.000,Bead,0.996
267,1,264,595,,0.000,object,0.863,,0.000,Bead,0.994
268,1,279,592,,0.000,object,0.827,,0.000,Bead,0.996
269,1,295,578,,0.000,object,0.832,,0.000,Bead,1.000
270,1,304,567,,0.000,object,0.812,,0.000,Bead,0.968
271,1,296,553,,0.000,object,0.719,,0.000,Bead,0.992
272,1,289,521,,0.000,object,0.872,,0.000,Bead,0.980
273,1,268,511,,0.000,object,0.892,,0.000,Bead,0.998
274,1,250,511,,0.000,object,0.841,,0.000,Bead,1.000
275,1,227,512,,0.000,object,0.812,,0.000,Bead,0.999
276,1,210,514,,0.000,object,0.826,,0.000,Bead,0.988
277,1,197,514,,0.000,object,0.832,,0.000,Bead,1.000
278,1,186,512,,0.000,object,0.876,,0.000,Bead,1.000
279,1,180,508,,0.000,object,0.877,,0.000,Bead,1.000
280,1,172,503,,0.000,object,0.890,,0.000,Bead,1.000
281,1,166,500,,0.000,object,0.836,,0.000,Bead,0.992
282,1,154,492,,0.000,object,0.824,,0.000,Bead,1.000
283,1,147,478,,0.000,object,0.832,,0.000,Bead,0.991
284,1,138,463,,0.000,object,0.762,,0.000,Bead,1.000
285,1,131,443,,0.000,object,0.709,,0.000,Bead,0.912
286,1,129,425,,0.000,object,0.706,,0.000,Bead,0.918
287,1,136,406,,0.000,object,0.850,,0.000,Bead,1.000
288,1,151,403,,0.000,object,0.889,,0.000,Bead,1.000
289,1,167,406,,0.000,object,0.890,,0.000,Bead,1.000
290,1,189,409,,0.000,object,0.832,,0.000,Bead,0.996
291,1,208,412,,0.000,object,0.824,,0.000,Bead,1.000
292,1,228,416,,0.000,object,0.833,,0.000,Bead,0.999
293,1,240,418,,0.000,object,0.850,,0.000,Bead,0.987
294,1,252,420,,0.000,object,0.850,,0.000,Bead,0.993
295,1,260,419,,0.000,object,0.857,,0.000,Bead,0.937
296,1,269,418,,0.000,object,0.859,,0.000,Frag,0.778
297,1,278,417,,0.000,object,0.840,,0.000,Bead,0.603
298,1,283,416,,0.000,object,0.829,,0.000,Bead,1.000
299,1,291,416,,0.000,object,0.851,,0.000,Bead,0.993
300,1,295,414,,0.000,object,0.846,,0.000,Bead,0.968
301,1,298,413,,0.000,object,0.820,,0.000,Bead,0.955
302,1,300,410,,0.000,object,0.883,,0.000,Bead,0.998
303,1,300,409,,0.000,object,0.916,,0.000,Bead,1.000
304,1,302,408,,0.000,object,0.916,,0.000,Bead,1.000
305,1,305,407,,0.000,object,0.891,,0.000,Bead,1.000
306,1,309,406,,0.000,object,0.881,,0.000,Bead,0.992
307,1,314,404,,0.000,object,0.891,,0.000,Bead,0.995
308,1,320,401,,0.000,object,0.873,,0.000,Bead,0.982
309,1,323,396,,0.000,object,0.884,,0.000,Bead,0.929
310,1,324,390,,0.000,object,0.885,,0.000,Bead,0.832
311,1,325,384,,0.000,object,0.868,,0.000,Bead,0.668
312,1,324,377,,0.000,object,0.819,,0.000,Bead,0.936
313,1,324,366,,0.000,object,0.790,,0.000,Bead,0.979
314,1,325,362,,0.000,object,0.741,,0.000,Bead,0.986
315,1,321,353,,0.000,object,0.743,,0.000,Bead,1.000
316,1,316,324,,0.000,object,0.784,,0.000,Bead,1.000
317,1,303,304,,0.000,object,0.852,,0.000,Bead,1.000
318,1,286,293,,0.000,object,0.816,,0.000,Bead,1.000
319,1,269,289,,0.000,object,0.792,,0.000,Bead,0.997
320,1,245,283,,0.000,object,0.841,,0.000,Bead,0.999
321,1,222,280,,0.000,object,0.849,,0.000,Bead,0.999
322,1,201,274,,0.000,object,0.819,,0.000,Bead,0.997
323,1,178,268,,0.000,object,0.868,,0.000,Bead,0.998
324,1,152,254,,0.000,object,0.864,,0.000,Bead,1.000
325,1,138,243,,0.000,object,0.837,,0.000,Bead,1.000
326,1,120,221,,0.000,object,0.814,,0.000,Bead,1.000
327,1,111,202,,0.000,object,0.792,,0.000,Bead,0.999
328,1,117,185,,0.000,object,0.826,,0.000,Bead,1.000
329,1,118,171,,0.000,object,0.844,,0.000,Bead,1.000
330,1,132,156,,0.000,object,0.840,,0.000,Bead,1.000
331,1,147,145,,0.000,object,0.876,,0.000,Bead,1.000
332,1,165,139,,0.000,object,0.868,,0.000,Bead,0.989
333,1,187,136,,0.000,object,0.881,,0.000,Bead,1.000
334,1,205,140,,0.000,object,0.898,,0.000,Bead,1.000
335,1,219,145,,0.000,object,0.876,,0.000,Bead,1.000
336,1,233,156,,0.000,object,0.844,,0.000,Bead,1.000
337,1,243,168,,0.000,object,0.825,,0.000,Bead,1.000
338,1,250,175,,0.000,object,0.857,,0.000,Bead,0.999
339,1,260,178,,0.000,object,0.803,,0.000,Bead,1.000
340,1,268,178,,0.000,object,0.843,,0.000,Bead,1.000
341,1,275,178,,0.000,object,0.825,,0.000,Bead,1.000
342,1,284,177,,0.000,object,0.874,,0.000,Bead,1.000
342,2,165,866,,0.000,object,0.772,,0.000,Bead,1.000
343,2,139,854,,0.000,object,0.861,,0.000,Bead,1.000
343,1,292,174,,0.000,object,0.807,,0.000,Bead,1.000
344,1,295,173,,0.000,object,0.831,,0.000,Bead,1.000
344,2,134,837,,0.000,object,0.803,,0.000,Bead,0.992
345,1,296,171,,0.000,object,0.766,,0.000,Bead,1.000
345,2,131,818,,0.000,object,0.712,,0.000,Bead,0.991
346,2,142,792,,0.000,object,0.844,,0.000,Bead,1.000
346,1,297,170,,0.000,object,0.782,,0.000,Bead,1.000
347,2,156,785,,0.000,object,0.865,,0.000,Bead,0.999
347,1,298,172,,0.000,object,0.831,,0.000,Bead,1.000
348,1,299,171,,0.000,object,0.820,,0.000,Bead,1.000
348,2,182,781,,0.000,object,0.793,,0.000,Bead,1.000
349,2,203,785,,0.000,object,0.838,,0.000,Bead,1.000
350,2,222,788,,0.000,object,0.829,,0.000,Bead,1.000
351,2,237,790,,0.000,object,0.903,,0.000,Bead,1.000
352,1,306,155,,0.000,object,0.778,,0.000,Bead,0.749
352,2,255,790,,0.000,object,0.728,,0.000,Bead,0.986
353,2,267,790,,0.000,object,0.833,,0.000,Bead,0.999
354,2,280,781,,0.000,object,0.811,,0.000,Bead,1.000
355,2,290,776,,0.000,object,0.860,,0.000,Bead,1.000
356,2,292,771,,0.000,object,0.874,,0.000,Bead,1.000
357,2,297,768,,0.000,object,0.863,,0.000,Bead,1.000
358,2,298,769,,0.000,object,0.835,,0.000,Bead,1.000
359,2,298,770,,0.000,object,0.775,,0.000,Bead,1.000
415,3,293,906,,0.000,object,0.797,,0.000,Bead,0.947
416,3,261,908,,0.000,object,0.776,,0.000,Bead,1.000
417,3,225,908,,0.000,object,0.701,,0.000,Frag,0.598
419,3,154,897,,0.000,object,0.775,,0.000,Bead,1.000
420,3,144,897,,0.000,object,0.886,,0.000,Bead,0.999
422,3,119,875,,0.000,object,0.783,,0.000,Bead,1.000
423,3,115,862,,0.000,object,0.814,,0.000,Bead,1.000
424,3,118,844,,0.000,object,0.810,,0.000,Bead,0.996
425,3,127,830,,0.000,object,0.861,,0.000,Bead,1.000
426,3,137,825,,0.000,object,0.878,,0.000,Bead,1.000
427,3,146,823,,0.000,object,0.836,,0.000,Bead,1.000
428,3,152,825,,0.000,object,0.830,,0.000,Bead,1.000
429,3,155,826,,0.000,object,0.743,,0.000,Bead,1.000
431,3,160,826,,0.000,object,0.833,,0.000,Bead,1.000
432,3,161,822,,0.000,object,0.804,,0.000,Bead,1.000
433,3,162,817,,0.000,object,0.755,,0.000,Bead,1.000
434,3,167,811,,0.000,object,0.859,,0.000,Bead,1.000
435,3,170,806,,0.000,object,0.898,,0.000,Bead,1.000
436,3,172,803,,0.000,object,0.877,,0.000,Bead,1.000
437,3,191,801,,0.000,object,0.818,,0.000,Bead,1.000
438,3,211,798,,0.000,object,0.789,,0.000,Bead,0.998
439,3,239,800,,0.000,object,0.797,,0.000,Organic,0.744
439,4,283,906,,0.000,object,0.789,,0.000,Frag,0.537
440,4,253,905,,0.000,object,0.710,,0.000,Bead,0.965
441,3,314,787,,0.000,object,0.729,,0.000,Frag,0.997
442,3,334,779,,0.000,object,0.833,,0.000,Frag,0.774
442,5,163,896,,0.000,object,0.792,,0.000,Bead,1.000
443,5,124,883,,0.000,object,0.764,,0.000,Bead,1.000
444,3,330,723,,0.000,object,0.788,,0.000,Bead,1.000
445,3,308,700,,0.000,object,0.848,,0.000,Bead,0.998
445,5,127,824,,0.000,object,0.777,,0.000,Bead,1.000
446,5,158,796,,0.000,object,0.860,,0.000,Bead,0.999
446,3,280,689,,0.000,object,0.808,,0.000,Bead,0.921
447,5,181,795,,0.000,object,0.834,,0.000,Frag,1.000
447,3,259,685,,0.000,object,0.793,,0.000,Bead,0.998
448,5,200,792,,0.000,object,0.810,,0.000,Bead,0.635
448,3,208,679,,0.000,object,0.804,,0.000,Bead,1.000
449,3,168,670,,0.000,object,0.851,,0.000,Bead,1.000
450,3,154,650,,0.000,object,0.874,,0.000,Bead,1.000
452,3,153,597,,0.000,object,0.908,,0.000,Bead,0.997
453,3,181,593,,0.000,object,0.822,,0.000,Bead,1.000
454,3,211,597,,0.000,object,0.861,,0.000,Bead,1.000
455,3,250,606,,0.000,object,0.833,,0.000,Bead,1.000
456,3,262,611,,0.000,object,0.804,,0.000,Bead,1.000
456,5,344,776,,0.000,object,0.775,,0.000,Frag,0.949
457,3,278,614,,0.000,object,0.830,,0.000,Bead,1.000
458,3,293,616,,0.000,object,0.815,,0.000,Bead,0.997
459,3,298,616,,0.000,object,0.861,,0.000,Bead,1.000
460,3,305,615,,0.000,object,0.831,,0.000,Bead,1.000
461,3,310,613,,0.000,object,0.849,,0.000,Bead,1.000
462,3,322,611,,0.000,object,0.806,,0.000,Bead,0.985
462,3,327,699,,0.000,object,0.757,,0.000,Frag,0.871
463,3,307,696,,0.000,object,0.886,,0.000,Frag,0.971
463,6,329,611,,0.000,object,0.829,,0.000,Bead,0.981
464,3,293,697,,0.000,object,0.884,,0.000,Frag,0.998
464,6,333,609,,0.000,object,0.876,,0.000,Bead,0.937
465,3,276,700,,0.000,object,0.886,,0.000,Frag,0.754
465,6,338,608,,0.000,object,0.822,,0.000,Bead,1.000
466,3,256,700,,0.000,object,0.891,,0.000,Frag,1.000
466,6,343,606,,0.000,object,0.814,,0.000,Bead,1.000
467,3,233,700,,0.000,object,0.885,,0.000,Frag,0.996
467,6,345,604,,0.000,object,0.830,,0.000,Bead,0.999
468,3,209,699,,0.000,object,0.853,,0.000,Frag,0.999
468,6,343,602,,0.000,object,0.832,,0.000,Bead,0.999
469,6,345,596,,0.000,object,0.860,,0.000,Bead,0.975
469,3,180,697,,0.000,object,0.843,,0.000,Frag,0.998
470,3,156,694,,0.000,object,0.829,,0.000,Frag,0.983
470,6,348,594,,0.000,object,0.796,,0.000,Bead,0.967
471,3,151,689,,0.000,object,0.821,,0.000,Frag,0.987
471,6,347,589,,0.000,object,0.794,,0.000,Bead,0.998
472,3,148,679,,0.000,object,0.838,,0.000,Frag,0.993
472,6,347,585,,0.000,object,0.793,,0.000,Bead,1.000
473,3,144,667,,0.000,object,0.821,,0.000,Frag,0.998
473,6,350,576,,0.000,object,0.804,,0.000,Bead,0.999
474,3,142,650,,0.000,object,0.818,,0.000,Bead,0.983
474,6,351,573,,0.000,object,0.761,,0.000,Bead,1.000
475,3,139,642,,0.000,object,0.838,,0.000,Bead,1.000
475,6,350,568,,0.000,object,0.714,,0.000,Bead,0.884
476,6,352,571,,0.000,object,0.787,,0.000,Frag,0.614
476,3,138,638,,0.000,object,0.729,,0.000,Bead,1.000
478,7,292,787,,0.000,object,0.775,,0.000,Frag,0.995
479,3,123,641,,0.000,object,0.709,,0.000,Bead,0.985
480,3,121,643,,0.000,object,0.738,,0.000,Bead,0.966
481,3,126,642,,0.000,object,0.703,,0.000,Bead,0.599
482,3,127,643,,0.000,object,0.748,,0.000,Bead,0.990
483,3,128,639,,0.000,object,0.790,,0.000,Bead,0.998
484,3,136,634,,0.000,object,0.884,,0.000,Bead,0.978
484,7,300,733,,0.000,object,0.786,,0.000,Bead,0.996
485,3,149,623,,0.000,object,0.896,,0.000,Bead,0.988
485,7,301,735,,0.000,object,0.846,,0.000,Bead,1.000
485,6,342,563,,0.000,object,0.787,,0.000,Bead,0.999
486,3,171,618,,0.000,object,0.880,,0.000,Bead,0.850
486,7,300,731,,0.000,object,0.878,,0.000,Bead,0.999
486,6,338,549,,0.000,object,0.770,,0.000,Bead,0.999
487,3,198,614,,0.000,object,0.908,,0.000,Frag,0.908
487,7,296,724,,0.000,object,0.847,,0.000,Bead,1.000
487,6,337,527,,0.000,object,0.701,,0.000,Bead,0.997
488,7,286,718,,0.000,object,0.872,,0.000,Bead,1.000
488,3,230,615,,0.000,object,0.833,,0.000,Frag,0.730
488,6,322,511,,0.000,object,0.790,,0.000,Bead,1.000
489,6,290,498,,0.000,object,0.825,,0.000,Bead,0.860
489,7,278,722,,0.000,object,0.820,,0.000,Bead,0.999
489,3,276,613,,0.000,object,0.795,,0.000,Frag,0.952
490,3,296,614,,0.000,object,0.860,,0.000,Frag,0.638
490,6,248,500,,0.000,object,0.840,,0.000,Bead,0.995
490,7,278,726,,0.000,object,0.795,,0.000,Bead,1.000
491,3,307,608,,0.000,object,0.850,,0.000,Organic,0.915
491,6,194,493,,0.000,object,0.807,,0.000,Bead,1.000
491,7,261,716,,0.000,object,0.764,,0.000,Bead,1.000
492,3,319,597,,0.000,object,0.856,,0.000,Organic,0.536
492,6,150,490,,0.000,object,0.829,,0.000,Bead,0.997
492,7,268,714,,0.000,object,0.799,,0.000,Bead,1.000
493,6,111,481,,0.000,object,0.834,,0.000,Bead,0.999
493,3,323,579,,0.000,object,0.830,,0.000,Frag,0.827
493,7,276,714,,0.000,object,0.789,,0.000,Bead,1.000
494,3,322,579,,0.000,object,0.852,,0.000,Frag,0.693
494,7,274,713,,0.000,object,0.844,,0.000,Bead,1.000
494,6,114,467,,0.000,object,0.813,,0.000,Bead,0.998
495,7,278,716,,0.000,object,0.848,,0.000,Bead,1.000
495,3,320,580,,0.000,object,0.793,,0.000,Frag,0.759
495,6,124,448,,0.000,object,0.715,,0.000,Bead,0.998
496,7,283,718,,0.000,object,0.835,,0.000,Bead,1.000
496,3,320,578,,0.000,object,0.825,,0.000,Frag,0.692
496,6,148,418,,0.000,object,0.814,,0.000,Bead,1.000
497,7,292,724,,0.000,object,0.837,,0.000,Bead,1.000
497,6,175,406,,0.000,object,0.799,,0.000,Bead,1.000
497,3,318,577,,0.000,object,0.733,,0.000,Bead,0.627
498,7,293,729,,0.000,object,0.851,,0.000,Bead,1.000
498,6,195,403,,0.000,object,0.824,,0.000,Bead,1.000
499,6,223,400,,0.000,object,0.847,,0.000,Bead,1.000
499,7,300,739,,0.000,object,0.830,,0.000,Bead,1.000
500,6,252,397,,0.000,object,0.835,,0.000,Bead,1.000
500,7,301,741,,0.000,object,0.787,,0.000,Bead,0.991
501,6,300,392,,0.000,object,0.802,,0.000,Bead,1.000
502,6,322,387,,0.000,object,0.839,,0.000,Bead,1.000
503,6,330,382,,0.000,object,0.785,,0.000,Bead,1.000
504,6,343,374,,0.000,object,0.810,,0.000,Bead,0.999
505,6,340,360,,0.000,object,0.803,,0.000,Bead,1.000
506,6,337,350,,0.000,object,0.833,,0.000,Bead,1.000
507,6,334,336,,0.000,object,0.775,,0.000,Bead,1.000
508,6,333,321,,0.000,object,0.784,,0.000,Bead,0.996
509,6,323,302,,0.000,object,0.883,,0.000,Bead,1.000
510,6,312,293,,0.000,object,0.821,,0.000,Bead,1.000
511,6,294,278,,0.000,object,0.789,,0.000,Bead,0.999
512,6,279,275,,0.000,object,0.840,,0.000,Bead,1.000
513,3,318,583,,0.000,object,0.887,,0.000,Bead,0.718
513,6,262,273,,0.000,object,0.821,,0.000,Bead,1.000
514,3,315,585,,0.000,object,0.838,,0.000,Bead,0.923
514,6,247,271,,0.000,object,0.817,,0.000,Bead,1.000
515,6,236,271,,0.000,object,0.825,,0.000,Bead,1.000
515,3,315,587,,0.000,object,0.809,,0.000,Bead,0.990
516,3,313,593,,0.000,object,0.873,,0.000,Bead,0.805
516,6,228,272,,0.000,object,0.839,,0.000,Bead,1.000
517,6,225,273,,0.000,object,0.835,,0.000,Bead,1.000
517,3,312,589,,0.000,object,0.752,,0.000,Bead,0.742
518,6,217,272,,0.000,object,0.835,,0.000,Bead,1.000
518,3,313,596,,0.000,object,0.834,,0.000,Frag,0.695
519,6,216,273,,0.000,object,0.827,,0.000,Bead,1.000
520,3,313,596,,0.000,object,0.843,,0.000,Frag,0.973
520,6,209,268,,0.000,object,0.840,,0.000,Bead,1.000
520,7,320,780,,0.000,object,0.794,,0.000,Frag,0.676
521,6,200,266,,0.000,object,0.853,,0.000,Bead,1.000
521,3,314,589,,0.000,object,0.852,,0.000,Frag,0.910
521,7,327,769,,0.000,object,0.800,,0.000,Frag,0.826
522,6,185,256,,0.000,object,0.835,,0.000,Bead,1.000
522,3,318,583,,0.000,object,0.828,,0.000,Frag,0.931
522,7,328,753,,0.000,object,0.814,,0.000,Bead,0.976
523,7,316,736,,0.000,object,0.867,,0.000,Bead,0.970
523,3,317,569,,0.000,object,0.855,,0.000,Frag,0.957
523,6,173,236,,0.000,object,0.824,,0.000,Bead,1.000
524,7,289,724,,0.000,object,0.896,,0.000,Bead,1.000
524,3,306,553,,0.000,object,0.863,,0.000,Frag,0.840
524,6,159,212,,0.000,object,0.725,,0.000,Bead,0.991
525,6,176,178,,0.000,object,0.873,,0.000,Bead,1.000
525,3,278,537,,0.000,object,0.870,,0.000,Organic,0.984
525,7,268,716,,0.000,object,0.848,,0.000,Bead,1.000
526,3,243,514,,0.000,object,0.873,,0.000,Bead,0.528
526,7,266,714,,0.000,object,0.834,,0.000,Bead,1.000
526,6,204,176,,0.000,object,0.801,,0.000,Bead,1.000
527,7,252,710,,0.000,object,0.858,,0.000,Bead,1.000
527,3,224,508,,0.000,object,0.783,,0.000,Bead,0.998
527,6,237,183,,0.000,object,0.748,,0.000,Bead,1.000
528,7,235,707,,0.000,object,0.847,,0.000,Bead,0.985
528,6,246,187,,0.000,object,0.793,,0.000,Bead,1.000
528,3,176,502,,0.000,object,0.751,,0.000,Bead,1.000
