object_id,original_ids,num_segments,duration_frames,final_class,mean_confidence
1,"1,2",2,44,Bead,0.558
3,3,1,29,Bead,0.528
4,4,1,106,Bead,0.567
5,"5,7",2,118,Frag,0.769
8,"8,9,10,11",4,88,Bead,0.585
13,13,1,107,Frag,0.454
15,15,1,35,Bead,0.598
16,16,1,114,Frag,1.044
18,18,1,90,Bead,0.521
20,"20,23,25,28",4,51,Frag,0.842
21,"21,22,24,26",4,34,Frag,1.041
27,"27,29",2,41,Frag,1.181
31,31,1,65,Bead,0.544
34,"34,35",2,28,Bead,0.575
37,"37,39",2,149,Bead,0.553
38,38,1,28,Bead,0.587
40,"40,42",2,112,Frag,0.515
45,45,1,146,Bead,0.423
47,"47,52,54",3,157,Bead,0.427
50,"50,51",2,75,Bead,0.546
53,"53,56,57,59",4,140,Bead,0.598
58,"58,60",2,128,Bead,0.574
