frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
205,1,243,857,,0.000,object,0.828,,0.000,Bead,1.000
206,1,199,851,,0.000,object,0.834,,0.000,Bead,1.000
207,1,172,846,,0.000,object,0.836,,0.000,Bead,0.999
208,1,117,828,,0.000,object,0.861,,0.000,Bead,1.000
210,1,80,793,,0.000,object,0.818,,0.000,Bead,0.999
211,1,96,772,,0.000,object,0.874,,0.000,Bead,1.000
212,1,110,766,,0.000,object,0.894,,0.000,Bead,1.000
213,1,131,765,,0.000,object,0.844,,0.000,Bead,1.000
214,1,150,762,,0.000,object,0.859,,0.000,Bead,1.000
215,1,166,762,,0.000,object,0.878,,0.000,Bead,1.000
216,1,186,762,,0.000,object,0.834,,0.000,Bead,1.000
217,1,205,763,,0.000,object,0.839,,0.000,Bead,1.000
218,1,222,758,,0.000,object,0.827,,0.000,Bead,0.999
219,1,235,755,,0.000,object,0.874,,0.000,Bead,0.999
220,1,248,744,,0.000,object,0.848,,0.000,Bead,0.991
224,1,256,656,,0.000,object,0.874,,0.000,Frag,0.713
225,1,239,649,,0.000,object,0.855,,0.000,Frag,0.562
226,1,219,649,,0.000,object,0.828,,0.000,Frag,1.000
227,1,179,643,,0.000,object,0.834,,0.000,Frag,0.999
228,1,159,638,,0.000,object,0.855,,0.000,Bead,0.997
229,1,120,619,,0.000,object,0.820,,0.000,Bead,1.000
232,2,122,554,,0.000,object,0.905,,0.000,Bead,0.997
233,2,145,549,,0.000,object,0.825,,0.000,Bead,0.993
234,2,177,549,,0.000,object,0.833,,0.000,Frag,0.941
235,2,196,553,,0.000,object,0.810,,0.000,Frag,0.970
236,2,244,546,,0.000,object,0.839,,0.000,Bead,0.953
237,2,256,537,,0.000,object,0.840,,0.000,Bead,0.983
238,2,274,519,,0.000,object,0.810,,0.000,Bead,0.555
240,2,263,480,,0.000,object,0.864,,0.000,Bead,0.989
241,2,246,467,,0.000,object,0.824,,0.000,Bead,0.709
242,2,226,467,,0.000,object,0.810,,0.000,Bead,0.997
243,2,200,469,,0.000,object,0.831,,0.000,Bead,0.995
244,2,182,472,,0.000,object,0.864,,0.000,Bead,0.883
245,2,175,477,,0.000,object,0.831,,0.000,Frag,0.834
246,2,168,477,,0.000,object,0.817,,0.000,Bead,0.861
247,2,163,478,,0.000,object,0.822,,0.000,Bead,0.993
248,2,159,477,,0.000,object,0.848,,0.000,Bead,1.000
249,2,151,474,,0.000,object,0.842,,0.000,Bead,1.000
250,2,145,472,,0.000,object,0.835,,0.000,Bead,1.000
251,2,142,467,,0.000,object,0.823,,0.000,Bead,1.000
252,2,131,465,,0.000,object,0.801,,0.000,Bead,1.000
253,2,117,460,,0.000,object,0.806,,0.000,Bead,1.000
259,2,105,356,,0.000,object,0.835,,0.000,Bead,1.000
260,2,121,358,,0.000,object,0.856,,0.000,Bead,1.000
261,2,141,362,,0.000,object,0.861,,0.000,Bead,1.000
262,2,168,366,,0.000,object,0.851,,0.000,Bead,1.000
263,2,198,370,,0.000,object,0.819,,0.000,Bead,1.000
264,2,220,372,,0.000,object,0.817,,0.000,Bead,1.000
265,2,243,371,,0.000,object,0.851,,0.000,Bead,1.000
266,2,259,370,,0.000,object,0.862,,0.000,Bead,1.000
267,2,281,363,,0.000,object,0.867,,0.000,Bead,1.000
268,2,293,356,,0.000,object,0.830,,0.000,Bead,1.000
269,2,300,350,,0.000,object,0.813,,0.000,Bead,0.997
275,2,300,234,,0.000,object,0.860,,0.000,Frag,0.651
276,2,276,237,,0.000,object,0.821,,0.000,Frag,0.891
277,2,262,244,,0.000,object,0.813,,0.000,Frag,0.812
278,2,252,245,,0.000,object,0.802,,0.000,Bead,0.847
279,2,233,252,,0.000,object,0.808,,0.000,Bead,0.894
280,2,210,257,,0.000,object,0.849,,0.000,Bead,1.000
281,2,199,262,,0.000,object,0.823,,0.000,Bead,1.000
282,2,179,267,,0.000,object,0.829,,0.000,Bead,1.000
283,2,169,270,,0.000,object,0.816,,0.000,Bead,1.000
284,2,160,273,,0.000,object,0.864,,0.000,Bead,1.000
285,2,152,271,,0.000,object,0.813,,0.000,Bead,1.000
287,2,142,265,,0.000,object,0.803,,0.000,Bead,0.997
288,2,134,259,,0.000,object,0.808,,0.000,Bead,1.000
289,2,130,253,,0.000,object,0.874,,0.000,Bead,1.000
290,2,126,247,,0.000,object,0.853,,0.000,Bead,1.000
291,2,120,239,,0.000,object,0.892,,0.000,Bead,1.000
292,2,114,230,,0.000,object,0.885,,0.000,Bead,1.000
293,2,108,220,,0.000,object,0.802,,0.000,Bead,1.000
297,2,100,145,,0.000,object,0.868,,0.000,Bead,1.000
298,2,106,121,,0.000,object,0.859,,0.000,Bead,0.986
299,2,124,99,,0.000,object,0.843,,0.000,Bead,1.000
302,2,191,75,,0.000,object,0.801,,0.000,Bead,0.941
303,2,216,80,,0.000,object,0.827,,0.000,Bead,0.982
529,3,278,864,,0.000,object,0.814,,0.000,Bead,0.830
530,3,245,863,,0.000,object,0.821,,0.000,Bead,0.998
532,3,176,856,,0.000,object,0.840,,0.000,Bead,1.000
533,3,146,850,,0.000,object,0.810,,0.000,Bead,1.000
534,3,110,842,,0.000,object,0.863,,0.000,Bead,1.000
535,3,101,829,,0.000,object,0.828,,0.000,Bead,0.999
538,3,93,766,,0.000,object,0.811,,0.000,Bead,1.000
539,3,105,758,,0.000,object,0.932,,0.000,Bead,1.000
540,3,118,754,,0.000,object,0.878,,0.000,Bead,1.000
541,3,134,753,,0.000,object,0.831,,0.000,Bead,1.000
542,3,149,754,,0.000,object,0.870,,0.000,Bead,1.000
543,3,162,757,,0.000,object,0.842,,0.000,Bead,0.997
544,3,176,759,,0.000,object,0.838,,0.000,Bead,0.987
545,3,195,759,,0.000,object,0.837,,0.000,Bead,0.999
546,3,207,759,,0.000,object,0.835,,0.000,Bead,0.992
547,3,219,757,,0.000,object,0.856,,0.000,Bead,1.000
548,3,230,754,,0.000,object,0.862,,0.000,Bead,1.000
549,3,238,750,,0.000,object,0.873,,0.000,Bead,1.000
550,3,248,745,,0.000,object,0.895,,0.000,Bead,0.997
551,3,258,739,,0.000,object,0.864,,0.000,Bead,0.989
