frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
469,1,275,903,Bead,0.728,,0.000,,0.000,,0.000
470,1,217,899,Bead,0.875,,0.000,,0.000,,0.000
472,2,126,894,Bead,0.813,,0.000,,0.000,,0.000
473,2,95,885,Bead,0.777,,0.000,,0.000,,0.000
474,2,73,874,Bead,0.766,,0.000,,0.000,,0.000
476,2,77,843,Bead,0.759,,0.000,,0.000,,0.000
477,2,74,818,Bead,0.726,,0.000,,0.000,,0.000
478,2,84,795,Bead,0.746,,0.000,,0.000,,0.000
479,2,103,789,Bead,0.828,,0.000,,0.000,,0.000
480,2,130,794,Bead,0.833,,0.000,,0.000,,0.000
481,2,166,806,Bead,0.804,,0.000,,0.000,,0.000
482,2,187,813,Bead,0.824,,0.000,,0.000,,0.000
483,2,202,814,Bead,0.783,,0.000,,0.000,,0.000
484,2,215,813,Bead,0.772,,0.000,,0.000,,0.000
485,2,228,811,Bead,0.798,,0.000,,0.000,,0.000
486,2,238,809,Bead,0.724,,0.000,,0.000,,0.000
487,2,251,805,Bead,0.773,,0.000,,0.000,,0.000
488,2,263,798,Bead,0.738,,0.000,,0.000,,0.000
494,3,261,698,Bead,0.734,,0.000,,0.000,,0.000
495,3,233,699,Bead,0.801,,0.000,,0.000,,0.000
496,3,201,703,Bead,0.777,,0.000,,0.000,,0.000
497,3,176,707,Bead,0.744,,0.000,,0.000,,0.000
501,3,100,699,Bead,0.791,,0.000,,0.000,,0.000
502,3,91,692,Bead,0.761,,0.000,,0.000,,0.000
503,3,85,679,Bead,0.812,,0.000,,0.000,,0.000
504,3,80,668,Bead,0.822,,0.000,,0.000,,0.000
505,3,79,656,Bead,0.866,,0.000,,0.000,,0.000
506,3,80,643,Bead,0.769,,0.000,,0.000,,0.000
507,3,87,628,Bead,0.819,,0.000,,0.000,,0.000
508,3,100,617,Bead,0.911,,0.000,,0.000,,0.000
509,3,123,610,Bead,0.876,,0.000,,0.000,,0.000
510,3,152,604,Bead,0.892,,0.000,,0.000,,0.000
511,3,186,605,Bead,0.842,,0.000,,0.000,,0.000
512,3,217,607,Bead,0.884,,0.000,,0.000,,0.000
513,3,246,605,Bead,0.877,,0.000,,0.000,,0.000
514,3,273,596,Bead,0.837,,0.000,,0.000,,0.000
515,3,290,580,Bead,0.823,,0.000,,0.000,,0.000
518,3,302,524,Bead,0.710,,0.000,,0.000,,0.000
519,3,300,507,Bead,0.735,,0.000,,0.000,,0.000
520,3,290,502,Bead,0.774,,0.000,,0.000,,0.000
521,3,277,502,Bead,0.776,,0.000,,0.000,,0.000
522,3,256,502,Bead,0.800,,0.000,,0.000,,0.000
523,3,231,502,Bead,0.732,,0.000,,0.000,,0.000
524,3,199,504,Bead,0.810,,0.000,,0.000,,0.000
525,3,173,510,Bead,0.843,,0.000,,0.000,,0.000
526,3,150,512,Bead,0.843,,0.000,,0.000,,0.000
527,3,130,507,Bead,0.868,,0.000,,0.000,,0.000
528,3,112,498,Bead,0.848,,0.000,,0.000,,0.000
529,3,96,483,Bead,0.805,,0.000,,0.000,,0.000
530,3,88,461,Bead,0.848,,0.000,,0.000,,0.000
531,3,85,441,Bead,0.835,,0.000,,0.000,,0.000
532,3,89,419,Bead,0.856,,0.000,,0.000,,0.000
533,3,104,403,Bead,0.809,,0.000,,0.000,,0.000
534,3,125,396,Bead,0.777,,0.000,,0.000,,0.000
535,3,155,398,Bead,0.777,,0.000,,0.000,,0.000
536,3,186,402,Bead,0.813,,0.000,,0.000,,0.000
537,3,209,410,Bead,0.842,,0.000,,0.000,,0.000
538,3,229,412,Bead,0.854,,0.000,,0.000,,0.000
539,3,244,413,Bead,0.851,,0.000,,0.000,,0.000
540,3,255,411,Bead,0.796,,0.000,,0.000,,0.000
541,3,269,405,Bead,0.811,,0.000,,0.000,,0.000
542,3,281,397,Bead,0.738,,0.000,,0.000,,0.000
543,3,290,384,Bead,0.728,,0.000,,0.000,,0.000
544,3,293,368,Bead,0.729,,0.000,,0.000,,0.000
545,3,290,343,Bead,0.736,,0.000,,0.000,,0.000
546,3,279,321,Bead,0.748,,0.000,,0.000,,0.000
547,3,260,305,Bead,0.829,,0.000,,0.000,,0.000
548,3,236,300,Bead,0.851,,0.000,,0.000,,0.000
549,3,218,301,Bead,0.818,,0.000,,0.000,,0.000
550,3,198,303,Bead,0.823,,0.000,,0.000,,0.000
551,3,182,306,Bead,0.823,,0.000,,0.000,,0.000
552,3,168,309,Bead,0.844,,0.000,,0.000,,0.000
553,3,155,311,Bead,0.836,,0.000,,0.000,,0.000
554,3,145,310,Bead,0.836,,0.000,,0.000,,0.000
555,3,139,309,Bead,0.852,,0.000,,0.000,,0.000
556,3,132,307,Bead,0.809,,0.000,,0.000,,0.000
557,3,130,306,Bead,0.827,,0.000,,0.000,,0.000
558,3,129,305,Bead,0.819,,0.000,,0.000,,0.000
559,3,129,305,Bead,0.811,,0.000,,0.000,,0.000
560,3,127,306,Bead,0.796,,0.000,,0.000,,0.000
561,3,125,305,Bead,0.806,,0.000,,0.000,,0.000
562,3,124,306,Bead,0.796,,0.000,,0.000,,0.000
563,3,123,306,Bead,0.813,,0.000,,0.000,,0.000
564,3,121,306,Bead,0.815,,0.000,,0.000,,0.000
565,3,120,306,Bead,0.832,,0.000,,0.000,,0.000
566,3,119,307,Bead,0.829,,0.000,,0.000,,0.000
567,3,118,307,Bead,0.811,,0.000,,0.000,,0.000
568,3,117,307,Bead,0.808,,0.000,,0.000,,0.000
569,3,117,307,Bead,0.800,,0.000,,0.000,,0.000
570,3,117,307,Bead,0.801,,0.000,,0.000,,0.000
571,3,118,308,Bead,0.793,,0.000,,0.000,,0.000
572,3,120,309,Bead,0.815,,0.000,,0.000,,0.000
573,3,121,311,Bead,0.812,,0.000,,0.000,,0.000
574,3,124,312,Bead,0.800,,0.000,,0.000,,0.000
575,3,127,312,Bead,0.814,,0.000,,0.000,,0.000
576,3,128,313,Bead,0.833,,0.000,,0.000,,0.000
577,3,128,313,Bead,0.822,,0.000,,0.000,,0.000
578,3,128,313,Bead,0.825,,0.000,,0.000,,0.000
579,3,128,314,Bead,0.827,,0.000,,0.000,,0.000
580,3,128,314,Bead,0.826,,0.000,,0.000,,0.000
581,3,128,314,Bead,0.828,,0.000,,0.000,,0.000
582,3,128,313,Bead,0.820,,0.000,,0.000,,0.000
583,3,128,314,Bead,0.825,,0.000,,0.000,,0.000
584,3,128,314,Bead,0.826,,0.000,,0.000,,0.000
585,3,129,313,Bead,0.822,,0.000,,0.000,,0.000
586,3,129,313,Bead,0.824,,0.000,,0.000,,0.000
587,3,128,313,Bead,0.822,,0.000,,0.000,,0.000
588,3,128,313,Bead,0.821,,0.000,,0.000,,0.000
589,3,128,313,Bead,0.817,,0.000,,0.000,,0.000
590,3,128,313,Bead,0.819,,0.000,,0.000,,0.000
591,3,128,313,Bead,0.821,,0.000,,0.000,,0.000
592,3,129,313,Bead,0.821,,0.000,,0.000,,0.000
593,3,129,313,Bead,0.819,,0.000,,0.000,,0.000
594,3,129,313,Bead,0.814,,0.000,,0.000,,0.000
595,3,129,314,Bead,0.816,,0.000,,0.000,,0.000
596,3,129,313,Bead,0.818,,0.000,,0.000,,0.000
597,3,128,313,Bead,0.823,,0.000,,0.000,,0.000
598,3,128,313,Bead,0.807,,0.000,,0.000,,0.000
599,3,128,313,Bead,0.816,,0.000,,0.000,,0.000
600,3,127,312,Bead,0.811,,0.000,,0.000,,0.000
601,3,127,313,Bead,0.801,,0.000,,0.000,,0.000
602,3,128,314,Bead,0.810,,0.000,,0.000,,0.000
603,3,129,313,Bead,0.824,,0.000,,0.000,,0.000
604,3,129,313,Bead,0.823,,0.000,,0.000,,0.000
605,3,129,313,Bead,0.816,,0.000,,0.000,,0.000
606,3,128,313,Bead,0.812,,0.000,,0.000,,0.000
607,3,127,313,Bead,0.809,,0.000,,0.000,,0.000
608,3,128,312,Bead,0.823,,0.000,,0.000,,0.000
609,3,129,312,Bead,0.824,,0.000,,0.000,,0.000
610,3,129,313,Bead,0.819,,0.000,,0.000,,0.000
611,3,129,313,Bead,0.816,,0.000,,0.000,,0.000
612,3,128,313,Bead,0.807,,0.000,,0.000,,0.000
613,3,128,312,Bead,0.816,,0.000,,0.000,,0.000
614,3,128,312,Bead,0.822,,0.000,,0.000,,0.000
615,3,128,313,Bead,0.815,,0.000,,0.000,,0.000
616,3,128,313,Bead,0.821,,0.000,,0.000,,0.000
617,3,130,313,Bead,0.834,,0.000,,0.000,,0.000
618,3,130,313,Bead,0.836,,0.000,,0.000,,0.000
619,3,129,313,Bead,0.837,,0.000,,0.000,,0.000
620,3,129,313,Bead,0.836,,0.000,,0.000,,0.000
621,3,129,313,Bead,0.838,,0.000,,0.000,,0.000
622,3,128,313,Bead,0.832,,0.000,,0.000,,0.000
623,3,129,312,Bead,0.833,,0.000,,0.000,,0.000
624,3,129,313,Bead,0.831,,0.000,,0.000,,0.000
625,3,129,313,Bead,0.833,,0.000,,0.000,,0.000
626,3,129,312,Bead,0.828,,0.000,,0.000,,0.000
627,3,129,312,Bead,0.825,,0.000,,0.000,,0.000
628,3,130,313,Bead,0.834,,0.000,,0.000,,0.000
629,3,130,313,Bead,0.833,,0.000,,0.000,,0.000
630,3,129,312,Bead,0.824,,0.000,,0.000,,0.000
631,3,128,313,Bead,0.821,,0.000,,0.000,,0.000
632,3,128,312,Bead,0.816,,0.000,,0.000,,0.000
633,3,129,312,Bead,0.824,,0.000,,0.000,,0.000
634,3,129,312,Bead,0.822,,0.000,,0.000,,0.000
635,3,129,312,Bead,0.827,,0.000,,0.000,,0.000
636,3,129,312,Bead,0.825,,0.000,,0.000,,0.000
637,3,128,312,Bead,0.823,,0.000,,0.000,,0.000
638,3,128,311,Bead,0.814,,0.000,,0.000,,0.000
639,3,129,312,Bead,0.827,,0.000,,0.000,,0.000
640,3,129,312,Bead,0.827,,0.000,,0.000,,0.000
