frame,id,x,y,primary_static_class,primary_static_conf,primary_motion_class,primary_motion_conf,secondary_static_class,secondary_static_conf,secondary_motion_class,secondary_motion_conf
238,1,197,846,,0.000,Frag,0.743,,0.000,,0.000
270,2,215,690,,0.000,Frag,0.669,,0.000,,0.000
271,2,210,676,,0.000,Frag,0.754,,0.000,,0.000
416,3,402,908,Bead,0.657,Frag,0.700,,0.000,,0.000
417,3,352,903,Bead,0.810,,0.000,,0.000,,0.000
418,3,301,900,Bead,0.822,,0.000,,0.000,,0.000
419,3,261,899,Bead,0.728,,0.000,,0.000,,0.000
420,3,223,896,Bead,0.699,,0.000,,0.000,,0.000
421,3,203,890,Bead,0.764,,0.000,,0.000,,0.000
422,3,189,883,Bead,0.753,,0.000,,0.000,,0.000
424,3,188,855,Bead,0.768,,0.000,,0.000,,0.000
425,3,192,830,Bead,0.816,,0.000,,0.000,,0.000
426,3,206,808,Bead,0.865,,0.000,,0.000,,0.000
427,3,225,793,Bead,0.800,,0.000,,0.000,,0.000
428,3,245,792,Bead,0.809,,0.000,,0.000,,0.000
429,3,270,793,Bead,0.801,,0.000,,0.000,,0.000
430,3,298,796,Bead,0.722,,0.000,,0.000,,0.000
431,3,322,801,Bead,0.751,,0.000,,0.000,,0.000
432,3,345,800,Bead,0.744,,0.000,,0.000,,0.000
436,3,401,756,,0.000,Frag,0.698,,0.000,,0.000
438,3,410,721,,0.000,Frag,0.655,,0.000,,0.000
443,4,319,693,Bead,0.690,,0.000,,0.000,,0.000
444,4,292,693,Bead,0.848,,0.000,,0.000,,0.000
445,4,270,692,Bead,0.807,,0.000,,0.000,,0.000
446,4,248,689,Bead,0.818,,0.000,,0.000,,0.000
447,4,229,679,Bead,0.840,,0.000,,0.000,,0.000
448,4,214,656,Bead,0.824,,0.000,,0.000,,0.000
449,4,215,632,Bead,0.846,,0.000,,0.000,,0.000
450,4,231,613,Bead,0.869,,0.000,,0.000,,0.000
451,4,258,601,Bead,0.867,,0.000,,0.000,,0.000
452,4,291,604,Bead,0.802,,0.000,,0.000,,0.000
453,4,322,611,Bead,0.872,,0.000,,0.000,,0.000
454,4,345,620,Bead,0.856,,0.000,,0.000,,0.000
461,5,392,603,Bead,0.690,,0.000,,0.000,,0.000
465,5,378,524,Bead,0.832,,0.000,,0.000,,0.000
466,5,355,510,Bead,0.793,,0.000,,0.000,,0.000
467,5,321,501,Bead,0.753,,0.000,,0.000,,0.000
468,5,288,498,Bead,0.757,,0.000,,0.000,,0.000
469,5,264,500,Bead,0.835,,0.000,,0.000,,0.000
470,5,239,495,Bead,0.779,,0.000,,0.000,,0.000
471,5,216,482,Bead,0.802,,0.000,,0.000,,0.000
472,5,206,464,Bead,0.791,,0.000,,0.000,,0.000
473,5,202,444,Bead,0.820,,0.000,,0.000,,0.000
474,5,208,426,Bead,0.771,,0.000,,0.000,,0.000
475,5,222,410,Bead,0.678,,0.000,,0.000,,0.000
476,5,246,402,Bead,0.802,,0.000,,0.000,,0.000
477,5,281,403,Bead,0.787,,0.000,,0.000,,0.000
478,5,313,409,Bead,0.798,,0.000,,0.000,,0.000
479,5,340,417,Bead,0.809,,0.000,,0.000,,0.000
480,5,359,423,Bead,0.809,,0.000,,0.000,,0.000
481,5,372,424,Bead,0.846,,0.000,,0.000,,0.000
482,5,382,424,Bead,0.843,,0.000,,0.000,,0.000
483,5,393,424,Bead,0.827,,0.000,,0.000,,0.000
484,5,403,423,Bead,0.793,,0.000,,0.000,,0.000
485,5,411,419,Bead,0.790,,0.000,,0.000,,0.000
486,5,415,413,Bead,0.791,,0.000,,0.000,,0.000
487,5,424,406,Bead,0.719,,0.000,,0.000,,0.000
490,5,425,394,Bead,0.740,,0.000,,0.000,,0.000
491,5,425,387,Bead,0.690,,0.000,,0.000,,0.000
492,5,424,382,Bead,0.702,,0.000,,0.000,,0.000
495,5,423,355,Bead,0.699,,0.000,,0.000,,0.000
496,5,417,340,Bead,0.722,,0.000,,0.000,,0.000
497,5,413,322,Bead,0.767,,0.000,,0.000,,0.000
498,5,394,303,Bead,0.780,,0.000,,0.000,,0.000
499,5,373,289,Bead,0.816,,0.000,,0.000,,0.000
500,5,340,282,Bead,0.672,,0.000,,0.000,,0.000
501,5,309,277,Bead,0.780,,0.000,,0.000,,0.000
502,5,279,276,Bead,0.739,,0.000,,0.000,,0.000
503,5,247,268,Bead,0.755,,0.000,,0.000,,0.000
505,5,204,235,Bead,0.833,,0.000,,0.000,,0.000
506,5,193,213,Bead,0.754,,0.000,,0.000,,0.000
507,5,189,192,Bead,0.815,,0.000,,0.000,,0.000
508,5,191,172,Bead,0.750,,0.000,,0.000,,0.000
510,5,206,138,Bead,0.768,,0.000,,0.000,,0.000
511,5,217,123,Bead,0.688,,0.000,,0.000,,0.000
512,5,233,114,Bead,0.666,,0.000,,0.000,,0.000
513,5,252,105,Bead,0.695,,0.000,,0.000,,0.000
514,5,275,99,Bead,0.729,,0.000,,0.000,,0.000
515,5,299,96,Bead,0.771,,0.000,,0.000,,0.000
516,5,319,104,Bead,0.717,,0.000,,0.000,,0.000
517,5,336,114,Bead,0.770,,0.000,,0.000,,0.000
518,5,346,124,Bead,0.720,,0.000,,0.000,,0.000
519,5,345,128,Bead,0.714,,0.000,,0.000,,0.000
520,5,344,129,Bead,0.756,,0.000,,0.000,,0.000
521,5,345,130,Bead,0.688,,0.000,,0.000,,0.000
522,5,346,131,Frag,0.716,,0.000,,0.000,,0.000
523,5,348,132,Frag,0.809,,0.000,,0.000,,0.000
524,5,351,133,Frag,0.729,,0.000,,0.000,,0.000
525,5,354,136,Frag,0.758,,0.000,,0.000,,0.000
526,5,357,141,Frag,0.778,,0.000,,0.000,,0.000
527,5,357,142,Frag,0.803,,0.000,,0.000,,0.000
528,5,357,141,Frag,0.839,,0.000,,0.000,,0.000
529,5,356,140,Frag,0.849,,0.000,,0.000,,0.000
530,5,356,141,Frag,0.849,,0.000,,0.000,,0.000
531,5,356,140,Frag,0.859,,0.000,,0.000,,0.000
532,5,356,140,Frag,0.850,,0.000,,0.000,,0.000
533,5,356,140,Frag,0.835,,0.000,,0.000,,0.000
534,5,356,141,Frag,0.845,,0.000,,0.000,,0.000
535,5,356,140,Frag,0.843,,0.000,,0.000,,0.000
536,5,356,141,Frag,0.833,,0.000,,0.000,,0.000
537,5,357,141,Frag,0.835,,0.000,,0.000,,0.000
538,5,356,142,Frag,0.836,,0.000,,0.000,,0.000
539,5,357,142,Frag,0.824,,0.000,,0.000,,0.000
540,5,357,142,Frag,0.810,,0.000,,0.000,,0.000
541,5,357,142,Frag,0.812,,0.000,,0.000,,0.000
542,5,357,142,Frag,0.798,,0.000,,0.000,,0.000
543,5,356,142,Frag,0.786,,0.000,,0.000,,0.000
544,5,357,142,Frag,0.796,,0.000,,0.000,,0.000
545,5,357,142,Frag,0.802,,0.000,,0.000,,0.000
546,5,357,141,Frag,0.797,,0.000,,0.000,,0.000
547,5,357,141,Frag,0.799,,0.000,,0.000,,0.000
548,5,356,142,Frag,0.807,,0.000,,0.000,,0.000
549,5,357,143,Frag,0.787,,0.000,,0.000,,0.000
549,6,414,910,,0.000,Frag,0.753,,0.000,,0.000
550,5,357,142,Frag,0.800,,0.000,,0.000,,0.000
550,6,385,909,Frag,0.739,,0.000,,0.000,,0.000
551,5,357,142,Frag,0.809,,0.000,,0.000,,0.000
552,5,357,142,Frag,0.820,,0.000,,0.000,,0.000
553,5,357,142,Frag,0.804,,0.000,,0.000,,0.000
554,5,357,142,Frag,0.794,,0.000,,0.000,,0.000
555,5,357,142,Frag,0.789,,0.000,,0.000,,0.000
556,5,357,142,Frag,0.791,,0.000,,0.000,,0.000
557,5,357,142,Frag,0.791,,0.000,,0.000,,0.000
557,7,213,853,,0.000,Frag,0.790,,0.000,,0.000
558,5,357,142,Frag,0.779,,0.000,,0.000,,0.000
559,5,357,143,Frag,0.783,,0.000,,0.000,,0.000
559,7,226,801,Bead,0.776,,0.000,,0.000,,0.000
560,5,358,142,Frag,0.765,,0.000,,0.000,,0.000
561,5,358,142,Frag,0.775,,0.000,,0.000,,0.000
562,5,357,143,Frag,0.768,,0.000,,0.000,,0.000
563,5,357,143,Frag,0.756,,0.000,,0.000,,0.000
563,7,288,810,Frag,0.705,,0.000,,0.000,,0.000
564,5,358,143,Frag,0.748,,0.000,,0.000,,0.000
564,7,308,812,Frag,0.707,,0.000,,0.000,,0.000
565,5,357,143,Frag,0.749,,0.000,,0.000,,0.000
566,5,357,143,Frag,0.739,,0.000,,0.000,,0.000
566,7,343,815,Bead,0.651,,0.000,,0.000,,0.000
567,5,357,142,Frag,0.759,,0.000,,0.000,,0.000
568,5,357,143,Frag,0.691,,0.000,,0.000,,0.000
568,7,368,813,Bead,0.689,,0.000,,0.000,,0.000
569,5,358,143,Frag,0.763,,0.000,,0.000,,0.000
570,5,357,143,Frag,0.665,,0.000,,0.000,,0.000
571,5,357,143,Frag,0.660,,0.000,,0.000,,0.000
572,5,357,142,Frag,0.697,,0.000,,0.000,,0.000
573,5,355,142,Frag,0.758,,0.000,,0.000,,0.000
575,5,348,143,Frag,0.793,,0.000,,0.000,,0.000
576,5,344,145,Frag,0.703,,0.000,,0.000,,0.000
578,8,374,709,,0.000,Frag,0.792,,0.000,,0.000
579,8,367,710,,0.000,Frag,0.660,,0.000,,0.000
583,5,295,169,Bead,0.699,,0.000,,0.000,,0.000
584,8,336,708,,0.000,Frag,0.718,,0.000,,0.000
585,8,320,705,,0.000,Frag,0.825,,0.000,,0.000
586,8,296,703,,0.000,Frag,0.798,,0.000,,0.000
587,8,279,679,,0.000,Frag,0.841,,0.000,,0.000
588,8,272,668,,0.000,Frag,0.827,,0.000,,0.000
589,8,266,661,,0.000,Frag,0.827,,0.000,,0.000
604,9,329,518,,0.000,Frag,0.650,,0.000,,0.000
608,8,188,444,Bead,0.711,,0.000,,0.000,,0.000
620,10,234,408,Bead,0.747,,0.000,,0.000,,0.000
621,10,255,410,Bead,0.768,,0.000,,0.000,,0.000
622,10,253,408,Frag,0.650,Frag,0.717,,0.000,,0.000
623,10,306,410,Frag,0.749,,0.000,,0.000,,0.000
625,10,347,409,Bead,0.709,,0.000,,0.000,,0.000
637,11,371,276,Frag,0.811,,0.000,,0.000,,0.000
638,11,345,270,Frag,0.801,,0.000,,0.000,,0.000
639,11,316,264,Frag,0.811,,0.000,,0.000,,0.000
640,11,286,263,Frag,0.819,,0.000,,0.000,,0.000
652,12,290,106,Bead,0.750,,0.000,,0.000,,0.000
653,12,312,101,Bead,0.715,,0.000,,0.000,,0.000
826,13,305,908,Bead,0.764,,0.000,,0.000,,0.000
827,13,257,910,Bead,0.793,,0.000,,0.000,,0.000
828,13,221,912,Bead,0.731,,0.000,,0.000,,0.000
845,14,217,887,Bead,0.652,Frag,0.675,,0.000,,0.000
846,14,214,871,Bead,0.777,Frag,0.822,,0.000,,0.000
847,14,211,856,,0.000,Frag,0.876,,0.000,,0.000
848,14,209,818,Bead,0.764,,0.000,,0.000,,0.000
849,14,230,806,Bead,0.813,,0.000,,0.000,,0.000
864,15,340,698,Organic,0.757,,0.000,,0.000,,0.000
866,15,278,713,Bead,0.730,,0.000,,0.000,,0.000
867,15,251,709,Bead,0.816,,0.000,,0.000,,0.000
868,15,227,705,Bead,0.840,,0.000,,0.000,,0.000
869,15,223,699,Bead,0.681,Frag,0.797,,0.000,,0.000
872,15,200,666,Bead,0.690,,0.000,,0.000,,0.000
873,15,207,653,Bead,0.749,,0.000,,0.000,,0.000
874,15,223,635,Bead,0.797,,0.000,,0.000,,0.000
875,15,245,616,Bead,0.796,,0.000,,0.000,,0.000
876,15,279,608,Bead,0.717,,0.000,,0.000,,0.000
878,15,346,605,Bead,0.667,,0.000,,0.000,,0.000
889,16,253,515,Bead,0.681,,0.000,,0.000,,0.000
896,16,186,474,Bead,0.692,,0.000,,0.000,,0.000
898,16,183,452,Bead,0.688,,0.000,,0.000,,0.000
900,16,192,428,Bead,0.653,,0.000,,0.000,,0.000
901,16,203,417,Bead,0.675,,0.000,,0.000,,0.000
902,16,217,410,Bead,0.679,,0.000,,0.000,,0.000
903,16,241,405,Bead,0.711,,0.000,,0.000,,0.000
904,16,270,404,Bead,0.687,,0.000,,0.000,,0.000
905,16,304,403,Bead,0.659,,0.000,,0.000,,0.000
906,16,342,402,Bead,0.713,,0.000,,0.000,,0.000
917,17,349,285,Frag,0.723,,0.000,,0.000,,0.000
928,18,198,283,Bead,0.761,,0.000,,0.000,,0.000
941,19,340,140,Organic,0.669,,0.000,,0.000,,0.000
942,19,356,151,Bead,0.661,,0.000,,0.000,,0.000
1179,20,458,37,Organic,0.659,,0.000,,0.000,,0.000
1319,21,178,915,Frag,0.871,,0.000,,0.000,,0.000
1320,21,192,912,Frag,0.842,,0.000,,0.000,,0.000
1321,21,202,905,Frag,0.804,,0.000,,0.000,,0.000
1326,21,267,920,Bead,0.679,,0.000,,0.000,,0.000
1347,22,317,888,Organic,0.683,,0.000,,0.000,,0.000
1351,22,270,903,Bead,0.703,,0.000,,0.000,,0.000
1352,22,229,898,Bead,0.683,,0.000,,0.000,,0.000
1354,22,189,890,Bead,0.737,,0.000,,0.000,,0.000
1360,23,164,867,,0.000,Frag,0.754,,0.000,,0.000
1366,23,238,811,Frag,0.690,,0.000,,0.000,,0.000
1367,23,238,811,Frag,0.761,,0.000,,0.000,,0.000
1368,23,238,811,Frag,0.757,,0.000,,0.000,,0.000
1369,23,238,810,Frag,0.762,,0.000,,0.000,,0.000
1371,23,245,809,Frag,0.738,,0.000,,0.000,,0.000
1372,24,329,721,Organic,0.768,,0.000,,0.000,,0.000
1373,24,314,715,Organic,0.720,,0.000,,0.000,,0.000
1381,25,171,694,Bead,0.658,,0.000,,0.000,,0.000
1384,25,143,657,Bead,0.715,,0.000,,0.000,,0.000
1389,26,192,704,Bead,0.815,,0.000,,0.000,,0.000
1390,26,170,696,Bead,0.761,,0.000,,0.000,,0.000
1390,27,275,595,Bead,0.703,,0.000,,0.000,,0.000
1391,26,147,683,Bead,0.754,,0.000,,0.000,,0.000
1392,26,133,664,Bead,0.791,,0.000,,0.000,,0.000
1393,26,130,644,Bead,0.830,,0.000,,0.000,,0.000
1393,27,335,540,Organic,0.686,,0.000,,0.000,,0.000
1394,26,131,624,Bead,0.836,,0.000,,0.000,,0.000
1395,26,136,608,Bead,0.780,,0.000,,0.000,,0.000
1396,26,149,608,Bead,0.768,,0.000,,0.000,,0.000
1397,26,163,609,Bead,0.707,,0.000,,0.000,,0.000
1398,26,186,609,Bead,0.810,,0.000,,0.000,,0.000
1401,28,180,500,Bead,0.754,,0.000,,0.000,,0.000
1402,28,164,491,Bead,0.784,,0.000,,0.000,,0.000
1403,28,148,476,Bead,0.670,,0.000,,0.000,,0.000
1405,28,147,430,Bead,0.824,,0.000,,0.000,,0.000
1406,28,161,409,Bead,0.725,,0.000,,0.000,,0.000
1410,29,260,396,Bead,0.733,,0.000,,0.000,,0.000
1412,30,289,495,Bead,0.716,,0.000,,0.000,,0.000
1413,30,255,494,Bead,0.803,,0.000,,0.000,,0.000
1414,30,220,499,Bead,0.734,,0.000,,0.000,,0.000
1415,30,193,504,Bead,0.771,,0.000,,0.000,,0.000
1416,30,162,500,Bead,0.741,,0.000,,0.000,,0.000
1420,31,120,459,Frag,0.795,,0.000,,0.000,,0.000
1421,31,121,445,Frag,0.726,,0.000,,0.000,,0.000
1422,31,132,429,Bead,0.738,,0.000,,0.000,,0.000
1423,31,143,415,Bead,0.842,,0.000,,0.000,,0.000
1424,31,166,406,Bead,0.798,,0.000,,0.000,,0.000
1425,31,192,406,Bead,0.819,,0.000,,0.000,,0.000
1426,31,218,406,Bead,0.807,,0.000,,0.000,,0.000
1426,32,126,225,Bead,0.763,,0.000,,0.000,,0.000
1427,31,244,404,Bead,0.791,,0.000,,0.000,,0.000
1427,32,119,200,Bead,0.680,,0.000,,0.000,,0.000
1428,31,269,400,Bead,0.768,,0.000,,0.000,,0.000
1428,32,127,174,Bead,0.727,,0.000,,0.000,,0.000
1429,32,137,158,Bead,0.737,,0.000,,0.000,,0.000
1429,31,290,394,Bead,0.694,,0.000,,0.000,,0.000
1430,32,155,148,Bead,0.717,,0.000,,0.000,,0.000
1430,31,315,385,Bead,0.675,,0.000,,0.000,,0.000
1431,31,331,369,Bead,0.732,,0.000,,0.000,,0.000
1431,32,166,148,Bead,0.665,,0.000,,0.000,,0.000
1437,33,322,282,Bead,0.690,,0.000,,0.000,,0.000
1448,34,165,163,Bead,0.805,,0.000,,0.000,,0.000
1449,34,176,164,Bead,0.712,,0.000,,0.000,,0.000
1600,35,307,906,Frag,0.797,,0.000,,0.000,,0.000
1601,35,274,903,Frag,0.811,,0.000,,0.000,,0.000
1602,35,245,901,Frag,0.766,,0.000,,0.000,,0.000
1603,35,215,895,Frag,0.733,,0.000,,0.000,,0.000
1604,35,189,892,Frag,0.771,,0.000,,0.000,,0.000
1606,35,143,871,Bead,0.699,,0.000,,0.000,,0.000
1607,35,125,857,Bead,0.753,,0.000,,0.000,,0.000
1608,35,118,842,Bead,0.683,,0.000,,0.000,,0.000
1609,35,121,827,Bead,0.709,,0.000,,0.000,,0.000
1610,35,126,816,Bead,0.756,,0.000,,0.000,,0.000
1611,35,137,805,Bead,0.779,,0.000,,0.000,,0.000
1612,35,155,799,Bead,0.830,,0.000,,0.000,,0.000
1613,35,173,799,Bead,0.756,,0.000,,0.000,,0.000
1614,35,195,802,Bead,0.686,,0.000,,0.000,,0.000
1616,35,213,813,Frag,0.820,,0.000,,0.000,,0.000
1617,35,214,815,Frag,0.884,,0.000,,0.000,,0.000
1618,35,212,813,Frag,0.884,,0.000,,0.000,,0.000
1619,35,211,811,Frag,0.871,,0.000,,0.000,,0.000
1620,35,211,809,Frag,0.852,,0.000,,0.000,,0.000
1621,35,212,804,Frag,0.778,,0.000,,0.000,,0.000
1622,35,220,799,Frag,0.724,,0.000,,0.000,,0.000
1623,35,230,794,Frag,0.759,,0.000,,0.000,,0.000
1624,35,241,796,Frag,0.808,,0.000,,0.000,,0.000
1627,35,274,795,Frag,0.821,,0.000,,0.000,,0.000
1635,36,318,708,,0.000,Frag,0.671,,0.000,,0.000
1638,36,232,681,Frag,0.813,,0.000,,0.000,,0.000
1639,36,206,681,Frag,0.770,,0.000,,0.000,,0.000
1640,36,234,685,,0.000,Frag,0.686,,0.000,,0.000
1642,36,145,643,Bead,0.717,,0.000,,0.000,,0.000
1644,36,166,600,Bead,0.756,,0.000,,0.000,,0.000
1646,36,214,609,Frag,0.720,,0.000,,0.000,,0.000
1667,37,242,506,Bead,0.673,,0.000,,0.000,,0.000
1668,37,217,508,Bead,0.690,,0.000,,0.000,,0.000
1669,37,197,507,Bead,0.796,,0.000,,0.000,,0.000
1670,37,178,506,Bead,0.695,,0.000,,0.000,,0.000
1671,37,161,503,Bead,0.698,,0.000,,0.000,,0.000
